año,mes,tipo de cambio 
2017,setiembre,17.231
2017,octubre,17.459
2017,noviembre,17.493
2017,diciembre,17.723
2018,enero,19.344
2018,febrero,20.148
2018,marzo,20.543
2018,abril,20.53
2018,mayo,24.223
2018,junio,27.246
2018,julio,28.266
2018,agosto,30.879
2018,setiembre,39.391
2018,octubre,38.075
2018,noviembre,37.485
2018,diciembre,38.84
2019,enero,38.43
2019,febrero,39.428
2019,marzo,42.542
2019,abril,44.354
2019,mayo,46.089
2019,junio,44.955
2019,julio,43.75
2019,agosto,54.65
2019,setiembre,58.79
2019,octubre,61.403
2019,noviembre,63.013
2019,diciembre,63.012
2020,enero,62.984
2020,febrero,63.581
2020,marzo,65.2
2020,abril,67.872
2020,mayo,70.048
2020,junio,72.521
2020,julio,75.324
2020,agosto,77.489
2020,setiembre,79.431
2020,octubre,83.132
2020,noviembre,85.485
2020,diciembre,88.182
2021,enero,91.474
2021,febrero,93.998
2021,marzo,96.635
2021,abril,98.526
2021,mayo,99.613
2021,junio,100.62
2021,julio,101.62
2021,agosto,102.57
2021,setiembre,103.78
2021,octubre,104.77
2021,noviembre,105.83
2021,diciembre,107.48
2022,enero,109.48
2022,febrero,111.95
2022,marzo,114.92
2022,abril,118.7
2022,mayo,123.2
2022,junio,127.99
2022,julio,135.21
2022,agosto,142.29
2022,setiembre,150.42
2022,octubre,159.42
2022,noviembre,169.15
2022,diciembre,179.98
2023,enero,189.61
2023,febrero,199.09
2023,marzo,210.34
2023,abril,223.62
2023,mayo,241.49
2023,junio,260.95
2023,julio,279.59
2023,agosto,337.29
2023,setiembre,366.88
2023,octubre,367.42
2023,noviembre,371.66
2023,diciembre,687.36
2024,enero,863.96
2024,febrero,880.6
2024,marzo,895.13
2024,abril,911.85
2024,mayo,927.37
2024,junio,942.2
2024,julio,961.71
2024,agosto,981.82
2024,setiembre,996.49
2024,octubre,1013.2
2024,noviembre,1030.78
2024,diciembre,1049.33
2025,enero,1070.72
2025,febrero,1087.29
2025,marzo,1098.77
2025,abril,1151.43
2025,mayo,1170.52
2025,junio,1198.46
2025,julio,0
2025,agosto,0
2025,setiembre,0
2025,octubre,
2025,noviembre,
2025,diciembre,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
enero,,
febrero,,
marzo,,
abril,,
mayo,,
junio,,
julio,,
agosto,,
setiembre,,
octubre,,
noviembre,,
diciembre,,
